Protein,MW,Length
PN96_RS18955,42.08693163999997,400
PN96_RS18960,48.53246703999988,433
PN96_RS18965,36.00497193999999,307
PN96_RS18970,21.962194340000018,197
PN96_RS18975,12.994581040000009,128
PN96_RS18980,25.693555640000007,254
PN96_RS18985,10.707026740000005,94
PN96_RS18990,18.909183340000016,168
PN96_RS18995,16.928386540000012,158
PN96_RS19000,23.43831204000001,209
PN96_RS19005,26.44182214,250
PN96_RS19010,8.413900940000001,76
PN96_RS19015,18.125712140000015,168
PN96_RS19020,10.750205540000005,92
PN96_RS19025,33.082738339999985,291
PN96_RS19030,35.05454363999998,314
PN96_RS19035,49.90441123999994,441
PN96_RS19040,31.334649140000014,279
PN96_RS19045,27.88476203999999,257
PN96_RS19050,31.00265053999998,299
PN96_RS19055,44.674301239999984,418
PN96_RS19060,23.703750140000004,215
PN96_RS19065,29.50035974,258
PN96_RS19070,49.94595083999992,484
PN96_RS19075,77.73897844000008,696
PN96_RS19080,6.719730439999999,60
PN96_RS19085,14.343095740000017,127
PN96_RS19090,13.952689140000004,127
PN96_RS19095,41.07572753999996,362
PN96_RS19100,29.564282040000013,267
PN96_RS19105,21.56581934000001,192
PN96_RS19110,22.919000040000004,201
PN96_RS19115,29.080060339999992,252
PN96_RS19120,33.006130639999995,292
PN96_RS19125,43.71738213999996,400
PN96_RS19130,32.56023934,302
PN96_RS19135,14.387103940000008,123
PN96_RS19140,119.71937444000056,1069
PN96_RS19145,32.51190964,308
PN96_RS19150,27.486889940000008,250
PN96_RS19155,60.2651093399999,545
PN96_RS19160,29.711316639999996,266
PN96_RS19165,73.22227243999997,650
PN96_RS19170,32.30792814,297
PN96_RS19175,39.12706093999995,355
PN96_RS19180,45.304120339999905,414
PN96_RS19185,30.572286539999997,273
PN96_RS19190,43.80260923999995,400
PN96_RS19195,23.024110639999996,200
PN96_RS19200,27.069375240000006,259
PN96_RS19205,23.901185839999993,219
PN96_RS19210,47.61390223999993,437
PN96_RS19215,32.01340304000002,286
PN96_RS19220,37.40972793999998,347
PN96_RS19225,39.02177473999997,348
PN96_RS19230,28.106055339999997,259
PN96_RS19235,26.116996340000007,238
PN96_RS19240,26.92296184,239
PN96_RS19245,36.251069039999976,340
PN96_RS19250,36.131525839999966,328
PN96_RS19255,25.210299139999993,225
PN96_RS19260,38.59512043999998,342
PN96_RS19265,37.78317843999997,325
PN96_RS19270,16.02120774000001,140
PN96_RS19275,70.14728584000001,633
PN96_RS19280,31.685235239999994,300
PN96_RS19285,75.36002894,686
PN96_RS19290,28.48363734000002,260
PN96_RS19295,58.158468239999934,535
PN96_RS19300,42.47926273999998,389
PN96_RS19305,14.978322340000007,128
PN96_RS19310,41.768639839999935,392
PN96_RS19315,54.068585939999885,497
PN96_RS19320,41.90278083999995,384
PN96_RS19325,27.76453524000002,258
PN96_RS19330,41.80763333999998,376
PN96_RS19335,30.85025713999999,298
PN96_RS19340,26.936166039999996,252
PN96_RS19345,22.58924064000001,199
PN96_RS19350,52.6283057399999,486
PN96_RS19355,62.797669039999874,566
PN96_RS19360,34.22872384000001,312
PN96_RS19365,30.379865740000007,280
PN96_RS19370,44.01438073999995,394
PN96_RS19375,29.51021004000002,260
PN96_RS19380,48.95365653999986,459
PN96_RS19385,99.44270884000026,882
PN96_RS24315,4.89693284,40
PN96_RS19390,17.238378640000015,155
PN96_RS19395,38.602295039999944,336
PN96_RS19400,34.02067094,286
PN96_RS19405,23.577117840000025,214
PN96_RS19410,66.25403343999986,584
PN96_RS19415,53.318000539999915,489
PN96_RS19420,11.933719840000016,108
PN96_RS19425,93.31964794000027,846
PN96_RS19430,29.009356040000036,269
PN96_RS19435,91.21017634000022,829
PN96_RS19440,31.987606040000003,293
PN96_RS19445,54.79607563999992,488
PN96_RS19450,58.707942939999825,523
PN96_RS19455,8.25542714,72
PN96_RS19460,25.196073840000015,229
PN96_RS19465,11.222592440000001,99
PN96_RS19470,51.94855583999993,472
PN96_RS19475,49.74200513999992,456
PN96_RS19480,18.086644540000012,159
PN96_RS19485,10.845331540000009,96
PN96_RS19490,31.96719954000001,296
PN96_RS19495,44.87157563999999,410
PN96_RS19500,41.215115139999995,380
PN96_RS19505,11.247542540000001,97
PN96_RS19510,16.770047040000016,150
PN96_RS19515,32.194240940000014,278
PN96_RS19520,27.432050640000007,249
PN96_RS19525,24.64754374000001,227
PN96_RS19530,42.24444873999995,377
PN96_RS24200,6.75074204,58
PN96_RS19535,33.77736114000001,299
PN96_RS19540,94.4584142400003,856
PN96_RS19545,33.99179014000001,302
PN96_RS19550,33.59456864000001,306
PN96_RS19555,18.110558640000008,160
PN96_RS19560,45.27180903999989,425
PN96_RS19565,20.40181604000002,182
PN96_RS19570,36.88280223999998,338
PN96_RS19575,23.436919740000004,213
PN96_RS19580,44.08435083999993,404
PN96_RS19585,15.752049640000006,135
PN96_RS19590,7.569445939999999,70
PN96_RS19595,20.101865940000014,174
PN96_RS24415,9.53381634,86
PN96_RS19605,48.758421540000015,441
PN96_RS19610,60.17809253999991,532
PN96_RS19615,57.937820439999925,513
PN96_RS19620,20.602825240000005,191
PN96_RS19625,18.455427240000017,175
PN96_RS19630,57.02873073999993,525
PN96_RS19635,35.70337103999997,331
PN96_RS19640,22.584827040000008,202
PN96_RS19645,23.971557740000016,226
PN96_RS19650,9.966082839999995,88
PN96_RS19655,19.558751740000012,178
PN96_RS19660,19.132910340000016,167
PN96_RS24035,43.39892083999995,377
PN96_RS19675,48.86168684,450
PN96_RS19680,110.86094614000048,1032
PN96_RS19685,43.95075643999995,407
PN96_RS19690,42.437347739999964,396
PN96_RS19695,32.696822640000015,293
PN96_RS19700,32.66124884000001,294
PN96_RS19705,34.301894139999995,315
PN96_RS19710,31.832536240000035,279
PN96_RS19715,67.88216053999982,636
PN96_RS19720,56.09209613999992,489
PN96_RS19725,59.204473639999904,533
PN96_RS19730,51.87579463999985,477
PN96_RS19735,53.64884403999989,497
PN96_RS19740,25.075787540000015,229
PN96_RS19745,115.67243294000045,1048
PN96_RS19750,30.045907140000022,268
PN96_RS19755,40.497779739999984,350
PN96_RS19760,22.744813740000016,194
PN96_RS19765,64.64680873999984,573
PN96_RS19770,49.28722133999997,446
PN96_RS19775,30.57448434,278
PN96_RS19780,55.558906339999915,514
PN96_RS19785,29.65652553999999,264
PN96_RS19790,86.84236174000023,782
PN96_RS19795,30.241727839999992,260
PN96_RS19800,27.57355414000002,242
PN96_RS19805,48.837677439999936,446
PN96_RS19810,54.083870839999875,505
PN96_RS19815,47.19137583999994,431
PN96_RS19820,24.841403140000022,220
PN96_RS19825,36.63630903999999,333
PN96_RS19830,45.57865703999999,419
PN96_RS19835,51.038031739999916,481
PN96_RS19840,32.058525540000005,291
PN96_RS19845,53.555731939999895,498
PN96_RS19850,43.79521643999997,400
PN96_RS19855,34.172748540000015,308
PN96_RS19860,27.69582544000001,242
PN96_RS19865,17.955555940000014,160
PN96_RS19870,61.9419613399999,554
PN96_RS19875,27.446495140000007,254
PN96_RS19880,11.163508340000003,100
PN96_RS19885,32.12459564000004,293
PN96_RS19890,16.70430384000001,146
PN96_RS24045,7.408656039999997,63
PN96_RS19900,45.76769423999994,392
PN96_RS19905,8.299551740000002,70
PN96_RS19910,8.079271539999999,71
PN96_RS19920,19.183494040000014,172
PN96_RS19925,12.06072254,107
PN96_RS19935,24.264856140000003,215
PN96_RS19940,15.321382440000008,133
PN96_RS19945,90.8672733400002,790
PN96_RS19950,15.280387740000013,139
PN96_RS19955,54.69107943999985,501
PN96_RS19960,34.33281793999995,327
PN96_RS19965,30.608076239999992,292
PN96_RS19970,32.48484394,307
PN96_RS19975,37.326059339999965,335
PN96_RS19985,14.385410140000003,128
PN96_RS19990,9.290133440000002,83
PN96_RS24205,6.15701844,53
PN96_RS20000,81.37624403999997,717
PN96_RS20005,79.57538254000008,689
PN96_RS20010,16.976505740000015,151
PN96_RS20015,37.02941204000001,334
PN96_RS20020,109.36358844000046,983
PN96_RS20025,7.4430725399999975,63
PN96_RS20030,91.10592004000011,786
PN96_RS20035,33.31355544000001,295
PN96_RS20040,56.730062339999876,505
PN96_RS20045,49.371541939999915,430
PN96_RS20050,36.10805163999999,327
PN96_RS20055,36.25840284000001,320
PN96_RS20060,20.638841940000024,180
PN96_RS20065,39.479471739999966,360
PN96_RS20070,64.80104483999995,576
PN96_RS20075,49.74241163999996,434
PN96_RS20080,14.865054240000017,141
PN96_RS20085,32.24783163999998,301
PN96_RS20090,63.29007273999985,540
PN96_RS20095,42.74877553999994,410
PN96_RS20100,13.091599940000007,118
PN96_RS20105,68.0428889399999,618
PN96_RS20110,21.953134539999997,196
PN96_RS20115,47.293668639999915,455
PN96_RS20120,44.441886339999954,374
PN96_RS20125,20.947641140000005,182
PN96_RS20130,78.24980554000008,684
PN96_RS20135,36.06851393999999,314
PN96_RS20140,138.09854044000073,1226
PN96_RS20145,43.39390273999994,384
PN96_RS20150,22.702038740000013,203
PN96_RS20155,51.584626539999924,455
PN96_RS20160,33.65994194,295
PN96_RS20165,22.415811540000025,202
PN96_RS20170,14.09325944000001,126
PN96_RS20175,62.27824663999993,542
PN96_RS20180,13.702946640000006,121
PN96_RS20185,25.572677740000028,240
PN96_RS20190,14.435506940000016,128
PN96_RS20195,32.541000739999994,301
PN96_RS20200,17.53115314000002,151
PN96_RS20205,21.112990940000007,182
PN96_RS20210,50.72847463999994,467
PN96_RS20215,11.31400724,93
PN96_RS20220,57.85278913999995,524
PN96_RS20225,26.184644740000014,230
PN96_RS20230,18.023409840000014,159
PN96_RS20235,55.327101639999945,515
PN96_RS20240,80.18755484000006,723
PN96_RS20245,10.745251740000006,91
PN96_RS20250,15.732825740000013,141
PN96_RS20255,14.944957740000003,129
PN96_RS20260,9.209716439999998,83
PN96_RS20265,49.39971933999983,461
PN96_RS20270,20.22894924000001,180
PN96_RS20275,39.476191639999946,357
PN96_RS20280,52.0617807399999,461
PN96_RS20285,22.964669740000016,209
PN96_RS20290,35.590797040000005,312
PN96_RS20295,55.5973553399999,521
PN96_RS20300,26.246089839999993,244
PN96_RS20305,30.865227140000016,271
PN96_RS20310,28.23855274,263
PN96_RS20315,24.417951440000017,222
PN96_RS20320,24.003752140000007,216
PN96_RS20325,26.74685934000001,242
PN96_RS20330,58.292978639999944,530
PN96_RS20335,34.30364174,312
PN96_RS20340,29.287662639999994,269
PN96_RS20345,50.08696563999989,461
PN96_RS20350,90.79666694000036,833
PN96_RS20355,64.00938573999997,584
PN96_RS20360,9.433491640000003,87
PN96_RS20365,53.707372139999926,477
PN96_RS20370,25.820703940000016,224
PN96_RS20375,20.71081094000002,186
PN96_RS20380,16.365728040000008,144
PN96_RS20385,36.015442439999966,331
PN96_RS20390,42.75944733999999,377
PN96_RS20395,113.85530544000055,1018
PN96_RS20400,20.753410140000017,192
PN96_RS20405,25.881787840000012,231
PN96_RS20410,21.36577634000001,188
PN96_RS20415,14.865955640000012,134
PN96_RS20420,29.76367143999998,283
PN96_RS20425,34.297845739999985,304
PN96_RS20430,18.82634444000002,161
PN96_RS20435,45.49706773999986,432
PN96_RS20440,37.11505383999997,341
PN96_RS20445,39.50394763999998,365
PN96_RS24265,6.70368734,61
PN96_RS20455,52.3703823399999,486
PN96_RS20460,13.170976240000003,117
PN96_RS20465,13.885734340000011,126
PN96_RS20470,19.953445640000005,173
PN96_RS20475,36.16612403999999,331
PN96_RS20480,11.516159140000001,105
PN96_RS20485,36.29061014,334
PN96_RS20490,19.103948840000008,171
PN96_RS20495,63.03367083999993,553
PN96_RS20500,55.37748513999992,484
PN96_RS20510,34.00092864000003,300
PN96_RS20515,64.11704473999986,568
PN96_RS20520,10.577870940000004,102
PN96_RS20525,26.17397923999998,243
PN96_RS20540,9.41093824,84
PN96_RS20545,30.904173339999986,262
PN96_RS20550,36.46123384000002,309
PN96_RS20555,50.14844683999989,441
PN96_RS20565,29.60278274,264
PN96_RS20570,88.32830134000028,823
PN96_RS20585,36.476190339999995,323
PN96_RS20590,15.04023424000001,135
PN96_RS20595,93.62668154000016,854
PN96_RS20600,11.822453940000006,107
PN96_RS20605,30.15108783999999,282
PN96_RS20610,27.902837440000017,256
PN96_RS20615,16.844464240000008,146
PN96_RS20620,18.42494714000001,162
PN96_RS20625,48.17862843999995,443
PN96_RS20630,28.461604540000017,249
PN96_RS20635,7.292278739999998,63
PN96_RS20640,14.345832040000008,124
PN96_RS20645,40.92084443999999,386
PN96_RS20650,15.639913740000006,144
PN96_RS20655,39.46890643999998,364
PN96_RS20660,48.48586553999998,441
PN96_RS20665,57.9209669399999,519
PN96_RS20670,44.672885939999986,420
PN96_RS20675,30.28745824000001,276
PN96_RS20680,32.83089514000001,293
PN96_RS20685,86.12686724000021,774
PN96_RS20690,61.86048503999989,567
PN96_RS20695,6.836177940000001,61
PN96_RS20700,11.154973040000007,102
PN96_RS20705,14.153139440000025,139
PN96_RS20710,15.734845440000017,151
PN96_RS20715,120.4793106400004,1102
PN96_RS20720,38.57090493999994,351
PN96_RS20725,32.47048434000003,290
PN96_RS20735,79.86863073999997,706
PN96_RS20740,18.02128994000001,156
PN96_RS20745,51.43301433999988,463
PN96_RS20750,33.122869640000005,284
PN96_RS20755,43.32139613999994,395
PN96_RS20760,25.243128439999992,224
PN96_RS20765,19.59283944000001,178
PN96_RS20770,52.47701653999987,483
PN96_RS20775,27.45736024000001,253
PN96_RS20780,24.794707040000006,228
PN96_RS20785,40.82203113999998,369
PN96_RS20790,16.780025740000013,145
PN96_RS20800,36.24851533999998,319
PN96_RS20805,46.74881993999999,420
PN96_RS20810,13.88184334000001,118
PN96_RS20815,10.652087240000004,93
PN96_RS20820,54.8112945399998,518
PN96_RS20825,48.713631139999904,458
PN96_RS20830,54.9851430399999,484
PN96_RS20835,25.079668440000006,222
PN96_RS20840,33.49977834000003,293
PN96_RS20845,41.087022239999975,375
PN96_RS20850,6.087738439999999,54
PN96_RS20855,14.552717340000015,130
PN96_RS20860,8.297604439999999,73
PN96_RS20865,8.249330239999999,73
PN96_RS24270,16.084348340000016,157
PN96_RS20875,10.98687334000001,103
PN96_RS20880,14.065165340000007,126
PN96_RS20885,36.86367773999998,329
PN96_RS20890,20.861035040000015,189
PN96_RS20895,96.10317214000031,877
PN96_RS20900,32.771741240000004,295
PN96_RS20905,36.978918139999976,339
PN96_RS20910,71.71061854,639
PN96_RS20915,27.741616440000005,251
PN96_RS20920,25.38080563999999,227
PN96_RS20925,34.06987484,311
PN96_RS20930,53.127029439999944,477
PN96_RS20935,90.00887674000012,818
PN96_RS20940,25.231952040000014,230
PN96_RS20945,22.465295040000008,200
PN96_RS20950,43.93075923999995,399
PN96_RS20955,72.48898323999995,640
PN96_RS20960,61.69380683999997,551
PN96_RS20965,25.569134439999992,218
PN96_RS20970,31.667648439999986,279
PN96_RS20975,22.382230340000003,198
PN96_RS20980,12.94776584000001,110
PN96_RS20985,9.32215134,83
PN96_RS20990,64.39650823999986,565
PN96_RS20995,8.406905940000007,77
PN96_RS21000,15.445802840000015,142
PN96_RS21005,28.160171839999997,262
PN96_RS21010,37.95266763999996,342
PN96_RS21015,45.44021403999999,413
PN96_RS21020,84.22093924000023,802
PN96_RS21025,20.525469940000004,185
PN96_RS21030,7.15526424,63
PN96_RS21035,38.21537253999996,339
PN96_RS21040,64.12037193999983,580
PN96_RS21045,62.62589663999984,544
PN96_RS21050,17.00995714000003,161
PN96_RS21055,34.251579539999994,301
PN96_RS21060,52.06902443999991,483
PN96_RS21065,20.214632140000006,189
PN96_RS21070,20.083503740000015,179
PN96_RS21075,9.432704340000003,80
PN96_RS21080,24.626168440000015,210
PN96_RS21085,29.890455640000006,262
PN96_RS21090,46.407462339999945,417
PN96_RS21095,23.18034354000001,198
PN96_RS21100,52.27449864000004,476
PN96_RS21110,24.981614439999998,222
PN96_RS21115,19.483085740000014,169
PN96_RS21120,17.21987874000001,157
PN96_RS21125,48.60193923999998,434
PN96_RS21130,62.224222939999876,582
PN96_RS21135,44.62075913999989,404
PN96_RS21140,112.51262494000068,1055
PN96_RS21145,32.88253394000002,293
PN96_RS21150,41.94067203999997,382
PN96_RS21155,24.431491840000024,219
PN96_RS21160,27.513790540000006,244
PN96_RS21165,29.461715540000018,265
PN96_RS21170,30.34539974,272
PN96_RS21175,34.360250840000006,306
PN96_RS21180,19.475733840000004,173
PN96_RS21185,36.34671604,317
PN96_RS21190,36.15727983999999,326
PN96_RS21195,39.73897223999997,377
PN96_RS21200,34.79942993999999,324
PN96_RS21205,59.55867343999984,577
PN96_RS21210,112.93221294000051,1019
PN96_RS21215,38.70177843999994,354
PN96_RS21220,39.34188513999996,357
PN96_RS21225,28.00396603999999,241
PN96_RS21230,40.502516439999965,372
PN96_RS21235,23.775131140000006,207
PN96_RS21240,46.37894253999989,431
PN96_RS21245,13.978138540000003,126
PN96_RS21250,104.54691454000034,954
PN96_RS21255,18.63433004000001,167
PN96_RS21260,13.069628440000006,115
PN96_RS21265,7.253152039999999,63
PN96_RS21270,10.23159644,87
PN96_RS21275,23.349536440000005,204
PN96_RS21280,21.986288240000007,191
PN96_RS21285,14.806008840000015,136
PN96_RS21290,28.34942854,247
PN96_RS21295,59.5741518399999,523
PN96_RS21300,35.71162723999996,332
PN96_RS21305,28.981109339999993,259
PN96_RS21310,35.94470734000002,317
PN96_RS21315,45.41708553999992,417
PN96_RS21320,35.197594739999985,309
PN96_RS21325,9.604171540000007,94
PN96_RS21330,39.47410893999998,350
PN96_RS21335,17.396230740000018,153
PN96_RS21340,17.285994040000023,157
PN96_RS21345,49.595256739999904,450
PN96_RS21350,23.731609540000004,208
PN96_RS21355,12.616572440000006,106
PN96_RS21360,40.310568939999975,364
PN96_RS21365,36.01365804,327
PN96_RS21370,41.19041563999997,382
PN96_RS21375,60.89781823999986,553
PN96_RS21380,103.92540224000042,942
PN96_RS21385,28.63663674000002,259
PN96_RS21390,38.75169063999996,347
PN96_RS21395,17.582704740000015,157
PN96_RS21400,36.44695803999996,320
PN96_RS21405,23.729723240000006,229
PN96_RS21410,64.36553343999985,578
PN96_RS21415,73.62980993999996,668
PN96_RS21420,47.620743639999965,437
PN96_RS21425,9.236346539999998,81
PN96_RS21430,88.53740524000024,804
PN96_RS21435,30.868566440000006,274
PN96_RS21440,39.72191443999997,350
PN96_RS21445,78.9340617400001,730
PN96_RS21450,98.95919144000031,905
PN96_RS21455,21.532729140000008,190
PN96_RS21460,62.07388013999993,596
PN96_RS21465,15.50553894000001,140
PN96_RS21475,56.5226127399999,503
PN96_RS21480,76.06831464000001,709
PN96_RS24420,3.00356844,27
PN96_RS21490,63.981995539999794,589
PN96_RS21495,80.24489944000001,700
PN96_RS21500,39.16765843999997,359
PN96_RS21505,22.848449340000013,198
PN96_RS21510,18.977694640000003,163
PN96_RS21515,35.91757493999998,312
PN96_RS21520,18.05637184000001,159
PN96_RS21525,34.66795053999999,304
PN96_RS21530,38.069171139999966,353
PN96_RS21535,33.38033804000003,294
PN96_RS21540,35.13346464,309
PN96_RS21545,35.44185643999998,317
PN96_RS21550,18.110846740000007,159
PN96_RS21555,49.316927039999925,439
PN96_RS21560,33.469456640000004,293
PN96_RS21565,38.30084683999996,360
PN96_RS21570,133.76206084000077,1258
PN96_RS21575,22.384166340000018,197
PN96_RS21580,17.169620940000012,156
PN96_RS21585,33.920157939999996,296
PN96_RS21590,20.281425840000015,176
PN96_RS21595,51.02591743999989,476
PN96_RS21600,24.513896140000007,222
PN96_RS21605,24.613241640000023,229
PN96_RS21610,27.069528639999994,243
PN96_RS21615,26.56448074000001,242
PN96_RS21620,50.23977873999998,461
PN96_RS21625,80.32860904000009,724
PN96_RS21630,23.143514040000014,216
PN96_RS21635,35.03021683999997,333
PN96_RS21640,42.47740343999997,373
PN96_RS21645,31.140635339999996,274
PN96_RS21650,32.62689953999999,302
PN96_RS21655,47.5581158399999,443
PN96_RS21660,22.740923740000003,201
PN96_RS21665,38.64554303999998,347
PN96_RS21670,27.114917840000007,245
PN96_RS21675,65.79304423999987,578
PN96_RS21680,57.37669943999986,533
PN96_RS21685,36.919821039999945,329
PN96_RS21690,52.391051339999905,486
PN96_RS21695,14.569512240000005,132
PN96_RS21700,32.17493704,296
PN96_RS21705,33.53569673999997,305
PN96_RS21710,11.696899340000012,103
PN96_RS21715,22.603386340000014,200
PN96_RS21720,76.12856053999995,678
PN96_RS21725,32.72901563999999,293
PN96_RS21730,27.08825984,252
PN96_RS21735,31.505079139999992,300
PN96_RS21740,42.157263639999975,381
PN96_RS21745,27.909005540000006,261
PN96_RS21750,42.02478463999998,384
PN96_RS21755,54.567998139999894,497
PN96_RS21760,43.01213293999994,403
PN96_RS21765,15.322866040000013,129
PN96_RS21770,42.258116639999955,389
PN96_RS21775,58.57630343999988,534
PN96_RS21780,31.454933940000014,281
PN96_RS21785,32.343860840000005,300
PN96_RS21790,20.105784640000014,181
PN96_RS21795,32.25982624,292
PN96_RS21800,49.14745393999998,437
PN96_RS21805,43.016831339999904,397
PN96_RS21810,57.60995703999985,512
PN96_RS21815,70.90952243999995,639
PN96_RS21820,39.82855593999995,374
PN96_RS21825,23.804323540000016,215
PN96_RS21830,53.25463483999992,484
PN96_RS21835,64.71505913999991,582
PN96_RS21840,26.386095240000017,238
PN96_RS21845,10.470788440000002,98
PN96_RS21850,10.356342640000001,95
PN96_RS21855,18.145567040000017,158
PN96_RS21860,54.10393933999987,498
PN96_RS21865,12.635856540000002,118
PN96_RS21870,95.12591494000019,868
PN96_RS21880,34.69875264000001,311
PN96_RS21885,75.17190304,666
PN96_RS21890,13.484269040000004,117
PN96_RS21895,29.89014804000001,275
PN96_RS21900,25.57233914000001,226
PN96_RS21910,49.718494539999895,426
PN96_RS21915,42.13360053999999,372
PN96_RS21920,37.876226639999985,337
PN96_RS21925,8.911481940000005,77
PN96_RS21930,9.75420064,85
PN96_RS21935,22.92336594000001,201
PN96_RS21940,26.991143740000002,245
PN96_RS21945,13.319931140000008,112
PN96_RS21950,81.86190934000008,740
PN96_RS21955,24.47198634000001,213
PN96_RS21960,52.471452039999946,482
PN96_RS21965,57.45186653999988,500
PN96_RS21970,15.416052140000007,144
PN96_RS21975,47.23774903999994,427
PN96_RS21980,50.909565239999885,461
PN96_RS21985,44.62877673999993,398
PN96_RS21990,52.41562823999986,490
PN96_RS21995,15.307818740000014,133
PN96_RS22000,29.68304104000001,262
PN96_RS22005,15.101917240000008,133
PN96_RS22010,25.87938254,242
PN96_RS22015,39.24570273999998,369
PN96_RS22020,13.629168240000004,131
PN96_RS22025,24.365855340000014,215
PN96_RS22030,46.667291239999926,409
PN96_RS22035,51.94610713999988,487
PN96_RS22040,33.19608093999998,296
PN96_RS22045,33.66982213999997,301
PN96_RS22050,34.60616443999997,301
PN96_RS22055,17.417929640000022,161
PN96_RS22060,21.759825140000014,196
PN96_RS22065,34.05930554000002,315
PN96_RS22070,11.854669040000012,108
PN96_RS22075,12.72282084000001,107
PN96_RS22080,15.068142640000003,142
PN96_RS22085,41.166066239999964,394
PN96_RS24280,10.561345940000006,91
PN96_RS22095,49.02830073999998,464
PN96_RS22100,23.649065540000006,209
PN96_RS22105,41.16700943999998,375
PN96_RS22110,33.74115103999999,312
PN96_RS22115,50.58822223999988,472
PN96_RS22120,53.38295863999991,500
PN96_RS22125,46.19320323999997,419
PN96_RS22130,55.42874823999981,517
PN96_RS22135,38.18486133999997,348
PN96_RS22140,32.28907994000001,289
PN96_RS22145,32.160151840000005,286
PN96_RS22150,17.13275704000002,164
PN96_RS22155,25.617501840000028,226
PN96_RS22160,51.78138513999992,461
PN96_RS22165,18.032331740000004,164
PN96_RS22170,53.12173933999981,500
PN96_RS24285,3.34373644,30
PN96_RS22180,16.759168240000015,145
PN96_RS22185,29.449394239999997,264
PN96_RS22190,46.09053953999988,432
PN96_RS22195,19.081560440000025,167
PN96_RS22200,36.26284524,328
PN96_RS22205,39.820261739999964,375
PN96_RS24425,7.9042897399999985,66
PN96_RS24085,4.908604739999999,45
PN96_RS22215,16.634777640000006,149
PN96_RS22220,33.821190539999996,299
PN96_RS22225,31.089949739999994,287
PN96_RS22230,37.37903403999997,336
PN96_RS22235,38.20952863999997,352
PN96_RS22240,96.90337404000024,843
PN96_RS22245,22.177423840000014,199
PN96_RS22250,35.560474040000024,323
PN96_RS22255,29.076290240000006,268
PN96_RS22260,38.04574993999997,357
PN96_RS22265,7.750399439999995,70
PN96_RS22270,31.313944039999992,287
PN96_RS22275,51.739076539999864,452
PN96_RS22280,32.85897153999998,300
PN96_RS22285,44.34441243999996,393
PN96_RS22290,46.937020439999955,419
PN96_RS24290,24.477147740000014,221
PN96_RS22300,26.388872840000015,252
PN96_RS22305,37.41996834,349
PN96_RS22310,29.058347740000016,262
PN96_RS22315,33.10568214,300
PN96_RS22320,47.00444413999986,446
PN96_RS22325,21.44239694000002,182
PN96_RS22330,36.74604553999996,333
PN96_RS22335,53.8903676399999,483
PN96_RS22340,15.732523540000015,141
PN96_RS22345,30.90880444000002,267
PN96_RS22350,36.47675243999995,344
PN96_RS22355,66.05630693999989,603
PN96_RS22360,37.07013164,330
PN96_RS22365,64.92410583999987,573
PN96_RS22370,25.179800940000014,226
PN96_RS22375,46.866332339999914,424
PN96_RS22380,53.089353839999916,486
PN96_RS22385,51.067744039999965,455
PN96_RS22390,34.505370339999985,313
PN96_RS22395,22.74430134000001,203
PN96_RS22400,17.88314014000002,165
PN96_RS22405,26.017585340000025,238
PN96_RS22410,12.610240440000016,116
PN96_RS22415,43.63273783999995,388
PN96_RS22420,34.242811440000004,297
PN96_RS22425,22.697864640000013,209
PN96_RS22430,33.970896339999975,303
PN96_RS22435,42.15092413999996,386
PN96_RS22440,40.53945984000001,350
PN96_RS22445,36.24389033999998,336
PN96_RS22450,37.506510739999996,347
PN96_RS22455,38.85722383999998,348
PN96_RS22460,49.02320063999994,459
PN96_RS22465,32.93839664000001,288
PN96_RS22470,24.639319640000004,222
PN96_RS22475,109.86780224000043,1005
PN96_RS22480,11.24563604,94
PN96_RS22485,45.44050953999996,417
PN96_RS22490,45.50659833999995,420
PN96_RS22495,40.92543513999997,371
PN96_RS22500,48.83919653999992,419
PN96_RS22505,45.09690833999986,423
PN96_RS22510,16.039550340000016,145
PN96_RS22515,46.99319733999984,440
PN96_RS22520,21.761717640000022,192
PN96_RS22525,37.644820540000005,344
PN96_RS22530,52.137639739999905,479
PN96_RS22535,35.223366339999984,310
PN96_RS22540,6.07508814,55
PN96_RS22550,11.106732740000007,97
PN96_RS22555,14.413650940000009,123
PN96_RS22560,21.96157254000002,194
PN96_RS22565,9.576375440000003,86
PN96_RS22570,8.377862840000002,73
PN96_RS22575,33.99018993999999,315
PN96_RS22580,33.55426863999999,320
PN96_RS22585,120.92027354000075,1131
PN96_RS22590,10.158849040000009,89
PN96_RS22595,26.50668214000002,235
PN96_RS22600,18.191842640000008,163
PN96_RS22605,32.34197254000003,283
PN96_RS22610,54.769743239999954,498
PN96_RS22615,28.71571983999999,249
PN96_RS22620,9.547614540000001,88
PN96_RS22625,23.24284194000002,213
PN96_RS22630,10.228245740000007,89
PN96_RS22635,15.42252714000001,134
PN96_RS22640,50.57409273999999,461
PN96_RS22645,32.567997539999986,289
PN96_RS22650,9.12534114,80
PN96_RS22655,57.81786003999984,535
PN96_RS22660,28.740628840000003,264
PN96_RS22665,45.38027403999998,412
PN96_RS22670,71.73230173999987,651
PN96_RS22675,75.92247593999991,687
PN96_RS22680,20.098689540000017,177
PN96_RS22685,36.12084583999996,325
PN96_RS22690,41.89812454000002,377
PN96_RS22695,40.29236703999997,369
PN96_RS22700,39.99177063999996,380
PN96_RS22705,34.98890623999998,323
PN96_RS22710,43.18998143999996,384
PN96_RS22715,23.72412344,217
PN96_RS22720,55.40912823999989,484
PN96_RS22725,55.52824813999985,488
